CustomerNumber,AccountName,Address,City,State,ZipCode,RouteNumber,ServiceFrequency,ServiceDays,Email,Phone,CreatedAt,password_hash,role
170898,Shasta Lake Fires - D/S,4126 Ashby Ct,Shasta Lake,CA,960199215,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
170903,Waynes Truck Service,20251 Charlanne Dr,Redding,CA,960029223,75,Weekly,R,,,2025-03-05 00:29:16,,customer
170914,COR Foothill Water Treatrdg,3100 Foothill Blvd,Redding,CA,96001,09,Weekly,F,,,2025-03-05 00:29:16,,customer
171009,Redding Urologic Asn,2626 Edith Ave Suite C,Redding,CA,96001,11,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171025,Kampai Sushi,351 North Point Dr,Redding,CA,96003,33,Weekly,M,,,2025-03-05 00:29:16,,customer
171031,Dudes Drive-In,1644 Hartnell Ave,Redding,CA,96002,09,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
171069,Youngman Trucking,6895 Eastside Rd,Anderson,CA,96007,05,Weekly,T,,,2025-03-05 00:29:16,,customer
171091,Holiday Mkt 34 Linen,20635 Gas Point Rd,Cottonwood,CA,96022,75,Weekly,F,,,2025-03-05 00:29:16,,customer
171093,Holiday Mkt #34 Groc,20635 Gas Point Rd,Cottonwood,CA,96022,75,Weekly,F,,,2025-03-05 00:29:16,,customer
171106,Western Hydro Corp,6705 Hooker Creek Road,Cottonwood,CA,960220000,75,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171122,Miniature Precision,4488 Mountain Lakes Blvd,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
171138,Lanny's Engines,10085 Limerick Ln,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
171159,Systems Plus,1800 S Barney Rd,Anderson,CA,96007,05,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
171161,Fedex Ground,1497 George Dr,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
171172,Bob's Tire,614 Walnut St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
171176,Holiday Mrk 40 Linen,9350 Deschutes Rd,Palo Cedro,CA,96073,33,Weekly,T,,,2025-03-05 00:29:16,,customer
171178,Holiday Mkt #40 Groc,9350 Deschutes Rd,Palo Cedro,CA,96073,33,Weekly,T,,,2025-03-05 00:29:16,,customer
171197,North Main Equipment,1899 Main St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
171207,Sav-Mor #12 Linen,6536 Westside Rd,Redding,CA,96001,05,Weekly,T,,,2025-03-05 00:29:16,,customer
171209,Sav-Mor #12 Groc,6536 Westside Rd,Redding,CA,96001,05,Weekly,T,,,2025-03-05 00:29:16,,customer
171215,Cascade Un Em Trans,1645 Mill St,Anderson,CA,96007,05,Weekly,W,,,2025-03-05 00:29:16,,customer
171223,Dal-Tile,3065 Crossroads Dr,Redding,CA,96003,33,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171235,Canned Food Co.,2235 Churn Creek Rd,Redding,CA,96002,05,Weekly,M,,,2025-03-05 00:29:16,,customer
171256,Los Mariachi's,604 Main St,Red Bluff,CA,96080,75,Weekly,W,,,2025-03-05 00:29:16,,customer
171271,Lulu's Restaurant,2230 Pine St,Redding,CA,960012634,12,Weekly,R,,,2025-03-05 00:29:16,,customer
171294,In & Out Market,9480 Cedro Ln,Palo Cedro,CA,96073,33,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171309,Leckey,4963 Mountain Lakes Blvd,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
171353,Comfort Inn & Suites - Susanville,3015 Riverside Dr,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171355,Susanville Trk/Auto,911 Cottage St,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171400,Mchale Sign Co.,3707 Electro Way,Redding,CA,96002,75,Weekly,R,,,2025-03-05 00:29:16,,customer
171410,SC-Public Health Lab,2650 Breslauer Way,Redding,CA,96001,11,Weekly,T,,,2025-03-05 00:29:16,,customer
171474,Seco Manufacturing  Co.,4155 Oasis Rd,Redding,CA,96003,05,Weekly,R,,,2025-03-05 00:29:16,,customer
171518,Susanville Sanitary Dist,45 S Roop St,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171523,BMC-Banner Lassen Medical,1800 Spring Ridge Dr,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171559,In-N-Out Burger #137,1275 Dana Dr,Redding,CA,96003,12,Weekly,MWF,,,2025-03-05 00:29:16,,customer
171567,Mazatlan Grill,55 N Lassen St,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
171573,Susanville Tow,,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171574,Lassen Tire,2955 Johnstonville Rd,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171575,Shingletown Auto Parts,28526 CA-44,Shingletown,CA,96088,33,Weekly,T,,,2025-03-05 00:29:16,,customer
171579,Holiday Mkt 45 Linen,2455 Hartnell Ave,Redding,CA,96002,75,Weekly,R,,,2025-03-05 00:29:16,,customer
171581,Holiday Mkt #45 Groc,2455 Hartnell Ave,Redding,CA,96002,75,Weekly,R,,,2025-03-05 00:29:16,,customer
171613,Babcock's Equip Repair,5490 Churn Creek Rd,Redding,CA,96002,75,Weekly,R,,,2025-03-05 00:29:16,,customer
171622,Idaho Grocery,2120 Main St,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171633,Kentucky Fried Chicken,3010 Riverside Dr,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171682,Reeds Market,7007 Shingle Glen Trl,Shingletown,CA,96088,33,Weekly,T,,,2025-03-05 00:29:16,,customer
171730,FCCC - Shasta Col Smg Refer,11155 Old Oregon Trl,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
171747,Reynolds Radiator Repair,702-365 Johnstonville Rd,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
171779,Giff's Restaurant,2827 Bechelli Ln,Redding,CA,96002,05,Weekly,M,,,2025-03-05 00:29:16,,customer
171936,Admin User,,,,,00,,,,,2025-03-12 23:12:09,$2b$10$vALsosEYoh6GgC/gsaOc1ObRpkxcRd8UoAbwulIRttpn1t2I6t0LO,superadmin
186872,Guy Rents,365 Antelope Blvd,Red Bluff,CA,96080,75,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
189813,Clear Creek Grocery,7036 Westside Rd,Redding,CA,96001,05,Weekly,T,,,2025-03-05 00:29:16,,customer
191360,Becca's Cafe,2083 Balls Ferry Rd,Anderson,CA,96007,05,Weekly,W,,,2025-03-05 00:29:16,,customer
194151,Simpson Events,2211 College View Dr,Redding,CA,96003,75,Weekly,R,,,2025-03-05 00:29:16,,customer
194602,Red Bluff Outdoor Power,490 Antelope Blvd,Red Bluff,CA,96080,75,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
195599,North State Towing,7010 Danyeur Rd,Redding,CA,96001,05,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
200421,BPS Supply Group,5040 Mountain Lakes Blvd,Redding,CA,96003,05,Weekly,M,,,2025-03-05 00:29:16,,customer
201377,Monarch Learning Crt,5307 Cedars Rd,Redding,CA,96001,05,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
202242,Redding Drywall,1410 Beltline Rd,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
202491,TYE DYE CAFE,1154 Hartnell Ave,Redding,CA,96002,12,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
203296,Golden State Farm Credit- remodel,255 Sale Ln,Red Bluff,CA,96080,75,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
205202,Action Axle & Suspension,8761 Airport Rd,Redding,CA,96002,75,Weekly,R,,,2025-03-05 00:29:16,,customer
206029,Frank Johnson's Uphol,1000 Locust St,Redding,CA,96001,11,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
206668,Urban Retreat - D/S,"2515 Park Marina Dr, #103",Redding,CA,96001,11,Weekly,R,,,2025-03-05 00:29:16,,customer
207519,Shasta High Food Court,2500 Eureka Way,Redding,CA,96001,11,Weekly,F,,,2025-03-05 00:29:16,,customer
207845,CINTAS STARBUCKS #8114/340000782,2980 Main St,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
209005,Mountain View School,675 Shasta View Dr,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
209405,PG&E Rdg Gc Line,3600 Meadow View Dr,Redding,CA,960029701,05,Weekly,W,,,2025-03-05 00:29:16,,customer
210370,Dr Nilges,2400 Washington Ave,Redding,CA,96001,11,Weekly,R,,,2025-03-05 00:29:16,,customer
211150,TNS Trucking,702045 Johnstonville Rd,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
213368,North Redding Valero,1191 Prestige Way,Redding,CA,96003,09,Bi-Weekly,F,,,2025-03-05 00:29:16,,customer
213537,Save Mart #477 Meat,1330 Churn Creek Rd,Redding,CA,96003,09,Weekly,W,,,2025-03-05 00:29:16,,customer
213538,Save Mart #477 Grocery,1330 Churn Creek Rd,Redding,CA,96003,09,Weekly,W,,,2025-03-05 00:29:16,,customer
213539,Save Mart #477 Produce,1330 Churn Creek Rd,Redding,CA,96003,09,Weekly,W,,,2025-03-05 00:29:16,,customer
213540,Save Mart #477 Bakery,1330 Churn Creek Rd,Redding,CA,96003,09,Weekly,W,,,2025-03-05 00:29:16,,customer
213625,FoodMaxx #476 Meat,94 Belle Mill Rd,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
213626,FoodMaxx #476 Produce,94 Belle Mill Rd,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
213627,FoodMaxx #476 Bakery,94 Belle Mill Rd,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
213628,FoodMaxx #476 Grocery,94 Belle Mill Rd,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
214014,Save Mart #477 Deli,1330 Churn Creek Rd,Redding,CA,96003,09,Weekly,W,,,2025-03-05 00:29:16,,customer
214581,Reynolds Ranch Farm,501 Madison St,Red Bluff,CA,96080,75,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
214607,Powerdraulics,4828 Mountain Lakes Blvd,Redding,CA,96003,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
215590,Jacks Restaurant,7875 Hwy 99e,Los Molinos,CA,960550000,75,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
215801,SDX Shasta Regional RMC#39855001,1100 Butte St,Redding,CA,96001,11,Weekly,W,,,2025-03-05 00:29:16,,customer
218695,Womens Health Specialists - Redding,1901 Victor Ave,Redding,CA,96002,09,Weekly,W,,,2025-03-05 00:29:16,,customer
218696,Shasta Gateway Center,1699 State Highway 273,Anderson,CA,96007,05,Weekly,W,,,2025-03-05 00:29:16,,customer
220637,Panda Express #1253,966 Dana Dr,Redding,CA,96003,12,Weekly,W,,,2025-03-05 00:29:16,,customer
221254,Woolery Forest Products,13570 State Highway 36 E,Red Bluff,CA,96080,75,Weekly,M,,,2025-03-05 00:29:16,,customer
222251,Mission Square Poa,2827 Bechelli Ln,Redding,CA,96002,05,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
222747,Singletonauman PC - Seasonal,1740 Main St,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
223507,Brandy Moffat-Womens,2701 Old Eureka Way Suite 1000,Redding,CA,960013700,11,Weekly,F,,,2025-03-05 00:29:16,,customer
223642,Cattlemen's-Redding-D/S,2184 Hilltop Dr,Redding,CA,96002,12,Weekly,W,,,2025-03-05 00:29:16,,customer
223803,Tri Co. Bank  #989,836 E Cypress Ave,Redding,CA,960021004,09,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
225428,Tri Co. Bank  #481,2686 Gateway Dr,Anderson,CA,96007,05,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
225430,Tri Co. Bank   #331,880 E Cypress Ave,Redding,CA,96002,09,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
225431,Tri Co. Bank   #111,1327 South St,Redding,CA,96001,11,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
226078,Tri Co. Bank  #691,4715 Shasta Dam Blvd,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
227908,Panda Express#1522,5000 Rhonda Rd,Anderson,CA,960070000,05,Weekly,W,,,2025-03-05 00:29:16,,customer
229548,Priya Indian Cuisine,2937 Churn Creek Rd,Redding,CA,96002,09,Weekly,W,,,2025-03-05 00:29:16,,customer
231683,S.V. Sewer Treatmentwwtp,200 Russell Ave,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
232978,Dr. Kahn,2415 Sonoma St - Suite A,Redding,CA,960012704,11,Weekly,M,,,2025-03-05 00:29:16,,customer
233643,Janesville Payless,463-770 Main St,Janesville,CA,96114,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
234254,Dr. Huang,3000 Eureka Way,Redding,CA,96001,11,Weekly,F,,,2025-03-05 00:29:16,,customer
235203,Rogers Machinery,5006 Mountain Lakes Blvd,Redding,CA,96003,05,Weekly,M,,,2025-03-05 00:29:16,,customer
235213,SRMC - Prime Health Care,1450 Liberty St,Redding,CA,96001,11,Weekly,W,,,2025-03-05 00:29:16,,customer
237322,Susanville Valero,1001 Main St,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
237339,Antelope Liquors,445 Antelope Blvd,Red Bluff,CA,96080,75,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
237369,Institute Of Tech,1755 Hilltop Dr,Redding,CA,96002,05,Weekly,M,,,2025-03-05 00:29:16,,customer
237384,Patriot Gas,2750 Main St,Susanville,CA,96130,09,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
237401,Redding Elks Lodge 1073,250 Elk Dr,Redding,CA,96003,12,Weekly,M,,,2025-03-05 00:29:16,,customer
238258,Nu-Way Market,8049 CA-99 E,Los Molinos,CA,96055,75,Weekly,W,,,2025-03-05 00:29:16,,customer
239545,2502 Rt 09 Cash Account,1481 Beltline Rd,Redding,CA,96003,09,Weekly,R,,,2025-03-05 00:29:16,,customer
239678,Wheeler Logging Office,13570 State Highway 36 E,Red Bluff,CA,96080,75,Weekly,M,,,2025-03-05 00:29:16,,customer
239679,Wheeler Logging Shop,13570 State Highway 36 E,Red Bluff,CA,96080,75,Weekly,M,,,2025-03-05 00:29:16,,customer
239680,Wheeler Logging Cat Shop,13570 State Highway 36 E,Red Bluff,CA,96080,75,Weekly,M,,,2025-03-05 00:29:16,,customer
241268,Western Nevada Supply - D/S,200 Bella Way,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
241768,FTH - Collview,1292 College View Dr,Redding,CA,96003,12,Weekly,R,,,2025-03-05 00:29:16,,customer
241769,FTH - Collview - D/S,1292 College View Dr,Redding,CA,96003,12,Weekly,TR,,,2025-03-05 00:29:16,,customer
242166,PG&E Redding,3600 Meadow View Dr,Redding,CA,96002,05,Weekly,W,,,2025-03-05 00:29:16,,customer
242462,Dr Randy Tate,2888 Eureka Way,Redding,CA,96001,11,Bi-Weekly,M,,,2025-03-05 00:29:16,,customer
242634,Susanville Police Department - D/S,1801 Main St,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
244165,Ramos Donuts,545 Main St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
244194,Us Forest Service,6101 Airport Rd,Redding,CA,960029422,75,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
244613,Court St Surgery,2184 Court St,Redding,CA,96001,11,Weekly,MR,,,2025-03-05 00:29:16,,customer
244614,Court St Surgery - D/S,2184 Court St,Redding,CA,96001,11,Weekly,TR,,,2025-03-05 00:29:16,,customer
244653,Institute Of Tech - Garments,1755 Hilltop Dr,Redding,CA,96002,01,Weekly,M,,,2025-03-05 00:29:16,,customer
244655,Mercy Surgery Center - D/S,2175 Rosaline Ave Ste A,Redding,CA,96001,11,Weekly,MWF,,,2025-03-05 00:29:16,,customer
244762,Miller Trucking,4650 Mountain Lakes Blvd,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
244842,Cost U Less,7948 CA-99 E,Los Molinos,CA,96055,75,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
244894,Shasta Lake City Hall,4477 Main Street,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
245191,R & R Auto Truck Repair,3165 Twin View Blvd,Shasta Lake,CA,96019,12,Weekly,T,,,2025-03-05 00:29:16,,customer
245341,Mercy Surgery Center,"2175 Rosaline Ave, Ste A",Redding,CA,96001,11,Weekly,MWF,,,2025-03-05 00:29:16,,customer
245380,Seco - D/S,4155 Oasis Rd,Redding,CA,96003,05,Weekly,R,,,2025-03-05 00:29:16,,customer
245984,Shasta Learning Center,2200 Eureka Way,Redding,CA,96001,11,Weekly,F,,,2025-03-05 00:29:16,,customer
245985,"Dr. Bergstrom, Buxa",3305 Placer St,Redding,CA,96001,11,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
246320,Rio Skin Body - Deana,656 Washington St,Red Bluff,CA,96080,75,Weekly,T,,,2025-03-05 00:29:16,,customer
246580,High Sierra Collision,472-635 Johnstonville Rd,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
247032,A Planned Affair,1270 Market St,Redding,CA,960010612,12,Weekly,R,,,2025-03-05 00:29:16,,customer
247367,Shasta Lake - D/S,4777 Main Street,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
247560,Shasta Lake Public Works,4332 Vallecito Street,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
247561,Shasta Lake Motor Pool,4448 Red Bluff Street,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
247562,Shasta Lake W/Water,Tibitts Road,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
248056,Clayton's Towing,6100 CA-273,Anderson,CA,96007,05,Bi-Weekly,W,,,2025-03-05 00:29:16,,customer
248411,Creekside Logging,19476 Gas Point Road,Cottonwood,CA,96022,75,Weekly,R,,,2025-03-05 00:29:16,,customer
249084,The Stirring,2250 Churn Creek Rd,Redding,CA,960020743,12,Weekly,W,,,2025-03-05 00:29:16,,customer
249712,Wilda's Grill,1712 Churn Creek rd,Redding,CA,960021715,12,Weekly,T,,,2025-03-05 00:29:16,,customer
251257,Dills Deli,5132 Caterpillar Rd,Redding,CA,960032048,09,Weekly,F,,,2025-03-05 00:29:16,,customer
251546,Shasta Lake Law Enforce,4448 Red Bluff Street,Shasta Lake,CA,96019,05,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
251567,Redding Endoscopy,2179 Court Street,Redding,CA,960012519,11,Weekly,MWF,,,2025-03-05 00:29:16,,customer
251709,PG&E Red Bluff S.C.,515 Luther Rd,Red Bluff,CA,960804256,75,Weekly,T,,,2025-03-05 00:29:16,,customer
251923,Garden Equipped,8693 Airport Rd,Redding,CA,960029216,75,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
252235,Good News - D/S,2842 S Market St,Redding,CA,960013215,05,Weekly,M,,,2025-03-05 00:29:16,,customer
252622,FTH - Fuel Good,1279 Pine St,Redding,CA,96001,12,Weekly,R,,,2025-03-05 00:29:16,,customer
253749,C&S Waste Solutions,471-825 Diane Dr,Susanville,CA,96130,09,Weekly,T,,,2025-03-05 00:29:16,,customer
253801,Lulu's Restaurant - D/S,2230 Pine St,Redding,CA,960012634,12,Weekly,R,,,2025-03-05 00:29:16,,customer
254647,Maxwell's,1344 Market St,Redding,CA,960010610,12,Weekly,R,,,2025-03-05 00:29:16,,customer
254648,Maxwell's - D/S,1344 Market St,Redding,CA,960010610,12,Weekly,R,,,2025-03-05 00:29:16,,customer
254994,Ramada Inn - House Account,1286 Twin View Blvd,Redding,CA,960031500,11,Weekly,W,,,2025-03-05 00:29:16,,customer
255057,Days Inn,5 Sutter St,Red Bluff,CA,960804312,75,Weekly,W,,,2025-03-05 00:29:16,,customer
255730,Interstate Batteries,2300 Larkspur Ln,Redding,CA,960021441,12,Weekly,W,,,2025-03-05 00:29:16,,customer
255766,Sunblockers,3504 Railroad Ave,Redding,CA,960013441,12,Bi-Weekly,T,,,2025-03-05 00:29:16,,customer
255920,FTH - Churncreek,2650 Churn Creek Rd,Redding,CA,960021125,33,Weekly,F,,,2025-03-05 00:29:16,,customer
255921,FTH - Churncreek - D/S,2650 Churn Creek Rd,Redding,CA,960021125,33,Weekly,F,,,2025-03-05 00:29:16,,customer
255922,Premiere - Catering,700 Auditorium Dr,Redding,CA,960010919,12,Weekly,F,,,2025-03-05 00:29:16,,customer
256022,Advance Power Redding DS,843 N Market St,Redding,CA,96003,12,Weekly,R,,,2025-03-05 00:29:16,,customer
256270,Higher Ground,28526 State Highway 44,Shingletown,CA,960889492,33,Weekly,T,,,2025-03-05 00:29:16,,customer
256387,Kevin Kay Restorations,1530 Charles Dr,Redding,CA,960031459,05,Weekly,R,,,2025-03-05 00:29:16,,customer
256452,Tri Co Bank   #361,595 Main St,Weaverville,CA,96093,09,Bi-Weekly,R,,,2025-03-05 00:29:16,,customer
256879,Don's Sandwich Shop,3034 Bechelli Ln,Redding,CA,960022009,09,Weekly,W,,,2025-03-05 00:29:16,,customer
256880,Etched In Elegance - Catering,3034 Bechelli Ln,Redding,CA,960022009,09,Weekly,W,,,2025-03-05 00:29:16,,customer
257021,Hansen's Pressure Washer`,3035 Twin View Blvd,Shasta Lake,CA,960192324,05,Weekly,R,,,2025-03-05 00:29:16,,customer
257244,COR West Central Landfill Rdg,14095 Clear Creek Rd,Redding,CA,96047,05,Weekly,T,,,2025-03-05 00:29:16,,customer
257245,COR Clear Crk Treat Plant Rdg,2220 Metz Rd,Redding,CA,960079478,05,Weekly,T,,,2025-03-05 00:29:16,,customer
257246,COR Municipal Utilities Rdg,"20055 Viking Way, Bldg 3",Redding,CA,960038295,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257247,COR Solid Waste Lunch Rm,2255 Abernathy Ln,Redding,CA,960038057,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257249,COR St Division Bldg #3 Rdg,"20055 Viking Way, Bldg 3",Redding,CA,960038295,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257250,COR Redding Power Plant,17120 Clear Creek Rd,Redding,CA,960015107,05,Weekly,T,,,2025-03-05 00:29:16,,customer
257302,COR Solid Waste Admin,2255 Abernathy Ln,Redding,CA,960038057,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257303,COR Wastewater Collection Rdg,"20005 Viking Way, Bldg 3",Redding,CA,960038295,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257330,COR Fire Station #3 Rdg,4255 Westside Rd,Redding,CA,960013798,11,Weekly,T,,,2025-03-05 00:29:16,,customer
257331,COR Police Department Rdg,855 Cypress Ave,Redding,CA,96001,05,Weekly,T,,,2025-03-05 00:29:16,,customer
257332,COR Civic Center,777 Cypress Ave,Redding,CA,960012718,05,Weekly,M,,,2025-03-05 00:29:16,,customer
257334,COR Fire Station #6 Rdg,4201 Oasis Rd,Redding,CA,96003,05,Weekly,F,,,2025-03-05 00:29:16,,customer
257359,COR Solid Waste Hazard Rdg,2255 Abernathy Ln,Redding,CA,960038057,05,Weekly,F,,,2025-03-05 00:29:16,,customer
