item_id,description,category,is_active,standardization_score
76070310,MAT-NY/RB-HNYCMB3X10,General,1,1
76070406,MAT-NY/RB-HNYCMB-4X6,General,1,3
76080304,MAT-NY/RB-OX GRY-3X4,General,1,190
76080310,MAT-NY/RB-OX GRY3X10,General,1,125
76080406,MAT-NY/RB-OX GRY-4X6,General,1,153
76120304,MAT-COFFEE,General,1,6
76140304,MAT-NYL/RUBR-SAFETY,General,1,8
76280310,MAT-OXF GRY-MHL-3X10,General,1,10
76280406,MAT-OXF GRY-MHL-4X6,General,1,17
79300000,Rags-Sale-Terry     ,General,1,2
80101100,TOWEL-ROLL-BLUE-LRG,General,1,16
80121100,TOWEL-ROLL-WHITE-LRG,General,1,4
80320000,CENTER PULL 600' WHT,General,1,1
80400000,JUMBO BTH TISS 12/CS,General,1,2
80500000,URNL SC MIS MANGO CS,General,1,1
80580000,R3 ECO REFL MANGO CS,General,1,1
80580001,R3 ECO REFL MANGO EA,General,1,2
81214300,FOAMFRESH GRNSEAL 1K,General,1,1
81215526,SOY IND HANDCLEAN EA,General,1,1
82690000,FM-ANTIBAC FOAM SOAP,General,1,3
83300000,F-Matic-Air Frsh Dsp,General,1,2
85050000,ROLL TOWEL CAB-BLACK,General,1,1
86680305,MAT-ALL PURPOSE KL,General,1,2
86940305,Mat-Kleen-Scrape-3x5,General,1,6
86954048,MAT-CMPLTCMFT-3X5,General,1,1
86970305,MAT-SUPERSCRAPE PLUS,General,1,1
86990305,Mat-Comfort-Flow-Blk,General,1,1
87392022,MOP-WET-TUBE-MF-BL-M,General,1,1
87392023,MOP-WET-TUBE-MF-BL-L,General,1,3
87392024,MOP-WET-TUBE-MF-GR-M,General,1,1
87392037,MOP-DUST-FRG-MF-18IN,General,1,1
87392055,CLTH-MF-AP-GREEN-12,General,1,1
87392069,MOP-WET-MF-FL-GR-18I,General,1,1
87392121,MOP-WET-MF-FL-RD-24I,General,1,2
87399022,Mop-Wet-Tube-Mf-Bl-M,General,1,1
87399023,MOP-WET-TUBE-MF-BL-L,General,1,175
87399025,MOP-WET-TUBE-MF-GR-L,General,1,11
87399043,Mop-Dust-Mf-Vcgry-18,General,1,1
87399050,CLTH-MF-AP-GRN-16,General,1,3
87399054,CLTH-MF-AP-YELLOW-16,General,1,1
91373537,Slider-Patient Green,General,1,1
94020000,BLANKET-BATH,General,1,15
94030000,Hosp-Blkt-Flnhb-Sand,General,1,9
94066690,Blanket-Thermal-Wht,General,1,7
94650000,Towel-Surgical      ,General,1,5
94700000,Pillow Case - Hosp,General,1,1
94740000,Sheet-Draw - Hosp,General,1,3
94776615,Sheet-Sngle-Hlthcare,General,1,2
94778237,Sht-Knit-Contour-Wh,General,1,3
94790000,Sheet-Semi Fit Top,General,1,5
94890000,Cape-Mammography,General,1,2
94910000,Pad-Incont-Hospital,General,1,3
94980000,Washcloth-Hospital,General,1,2
95060000,Gown-Infant,General,1,1
95071000,Gown-Child-S,General,1,1
95072000,Gown-Child-M,General,1,1
95073000,Gown-Child-L,General,1,2
95120000,GOWN-IV-PRINT,General,1,5
95150000,Gown-Patient-Print,General,1,25
95170000,Plus Gown,General,1,6
96310000,Lab Coat-Pressed-Cog,General,1,2
97190305,Walkoff Mat-3x5-Cog ,General,1,1
97190310,Walkoff Mat-3x10-Cog,General,1,1
97190406,Walkoff Mat-4x6-Cog,General,1,1
97210406,Logo Mat         Cog,General,1,3
97220000,Shirts           Cog,General,1,2
97680000,Blouse           Cog,General,1,2
97739900,Apron-In&Out     Cog,General,1,2
99840000,Laundry Bag-Pvc-Blue,General,1,1
99860000,Laundrybag-Biohazard,General,1,1
